state,year,white,black,native,asian,hispanic,male,female,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
DC,2014,240428,320270,1827,27291,69189,313069,345936,8964,33638,31086,25920,37291,58785,78136,71834,50659,41914,37724,39057,36734,32437,25310,17296,12222,8978,11020
CO,2000,3263334,175028,34359,108908,745292,2179179,2147742,61926,236987,308509,314366,309455,309098,331110,333782,366372,373185,338081,283128,196749,145887,121465,105474,86456,56273,48618
NM,2002,824559,36148,170731,23001,800870,913453,941856,27182,104778,132909,147664,148291,133071,113618,117703,129231,143128,136696,124019,98798,76918,65072,56467,44763,30514,24487
VA,2004,5157136,1482757,22209,364172,449301,3661265,3814310,101247,392214,475629,523857,525374,537407,485215,531092,562757,612961,586066,515928,449289,333028,250156,204256,169681,123023,96395
CA,2008,15606804,2347982,210523,4991035,13447993,18207365,18396972,529416,2031645,2423440,2640937,2823230,2685532,2729493,2497578,2650671,2628234,2683057,2475459,2094639,1654246,1204606,928138,761030,602079,560907
TX,2014,11947793,3240791,99697,1253336,10403134,13372528,13572223,396679,1571299,2009714,1991947,1908582,2000421,1966457,1957471,1806627,1820413,1703643,1759695,1616030,1338722,1074179,756555,529844,373623,362850
ID,2014,1375095,15048,20894,27021,195474,818492,815040,22359,91440,123660,122219,115349,112139,107368,108068,102126,97352,94373,104441,104067,95229,80098,58700,39949,27350,27245
TN,2012,4904368,1110448,18348,111217,309925,3146638,3307668,80538,322657,414738,422042,422077,456694,418901,420862,403031,440207,449569,462529,436125,385755,312335,223527,161186,115277,106256
SD,2014,715943,18493,75546,12114,30465,428926,423635,12530,48296,60208,55934,56937,61077,56107,56404,49083,46726,48496,58896,58669,53004,40468,28833,22067,17713,21113
DC,2006,184613,315872,1737,19937,48522,269359,301322,7321,24036,25968,30048,39473,55644,56351,48803,43247,39469,38310,36200,34626,25219,18803,14796,12766,10427,9174
NY,2006,11613210,2906370,69397,1352712,3162942,9233230,9871401,236006,924991,1164565,1297452,1378904,1324873,1326593,1234210,1381743,1475057,1470367,1318003,1199399,880240,680803,566146,502443,390279,352557
LA,2014,2791189,1515968,31748,85854,223121,2274411,2373469,63546,245724,313963,307942,300464,348807,340311,330714,285854,279022,289507,322674,315952,270673,216653,154366,110143,77528,74037
OR,2010,3077950,82988,53089,171600,452421,1899392,1938656,46406,191163,236969,242532,253401,254540,264788,260180,250438,249489,261628,275897,274191,239088,171585,121568,91678,74041,78466
TN,2010,4862633,1082812,17771,101941,291514,3098653,3258018,78965,328187,411852,419338,435102,429186,417839,408097,420641,431313,466271,459954,417495,373936,282128,207847,155243,112455,100822
SD,2000,670280,5929,63629,5011,10995,375163,380681,10324,40717,54225,59650,62688,53086,44720,45942,56335,58895,54167,44223,33817,28859,26993,25942,22548,16520,16193
NE,2006,1504276,83162,15687,31087,138481,878006,894687,25824,101729,119374,124213,132554,135370,111323,112007,111855,122948,133170,123666,107599,75825,60595,52890,47871,37562,36318
IN,2002,5270784,544192,16407,75175,249409,3022625,3133342,84208,341506,433323,454818,450831,448045,387843,424161,451667,486210,458164,402883,323626,250725,203939,186640,160626,112543,94209
ME,2008,1272672,17502,9563,14273,16499,651096,679413,13965,57242,74959,80956,92327,80001,72758,71184,85698,97312,110517,109597,98961,81694,59398,46584,39115,30326,27915
MS,2012,1737243,1118322,14860,30552,83968,1450363,1534582,38886,162679,208263,208196,211647,223590,195018,195297,180387,190361,195516,207669,194979,168478,132991,98802,72595,52178,47413
MO,2006,4843754,694249,30048,97568,177085,2855141,2987563,78061,303187,381157,406907,427560,415143,380893,355143,383032,428058,451118,406935,364625,276273,220958,184129,156244,118596,104685
